n,vn,an0,an1,an2,an3,an4
10001,0.000014806830774,2.96513622902944,-16869.0745532050,1.58926908067534E-04,4.70945100947716E-08,-1.15725025680846E-10
10002,0.000013718401689,-1.06513490503845,10278.3771619487,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10003,0.000013819554293,205.24074353696000,8329.3469275386,3.35499392839219E-04,5.37841825847407E-07,-2.64654940380884E-09
10004,0.000013819554293,200.52963443618600,-8328.0359217083,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
10005,0.000014226198016,19.52227787320100,29435.8724401795,-1.32366352247667E-04,1.24235445039043E-07,-8.16038388043571E-10
10006,0.000014526254768,-57.70478939125760,-79.6280687984,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10007,0.000014130402920,16.14454036785940,7222.9412538589,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
10008,0.000015924384882,-3.55382229198180,3361.4054294406,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10009,0.000013776920622,22.75997650553820,3580.9595607939,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
10010,0.000017307937340,11.13234086548310,23828.7858986495,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
10011,0.000017157118752,-5.10062431858987,574.9452415719,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10012,0.000013791515431,-49.49175065278250,16656.9947074533,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
10013,0.000013791169412,62.05561050775620,16657.7709910404,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
10014,0.000017420417377,78.12669647808450,7452.9522767458,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10015,0.000017409352824,44.68491971904160,-2370.8914133981,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
10016,0.000014285093340,-24.66675803731500,8277.6370004026,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
10017,0.000018795587682,2.10625725590259,14410.0767872608,-6.55426751658479E-04,-5.65803454905399E-07,2.48389441379659E-09
10018,0.000014103654794,7.88523075233639,-9618.3766767028,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
10019,0.000019180107069,3.17805877025643,-3289.2828734663,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
10020,0.000018503274707,20.23743998643400,8603.8292259889,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10021,0.000014703893042,38.44150090990350,7157.1806819208,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10022,0.000015685763325,-20.68795210714610,23123.6934238659,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
10023,0.000014364479686,5.15230238913657,15541.3315990480,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10024,0.000018745947523,17.76973791857020,32960.4419289984,-1.94195506876800E-04,5.14272899628475E-08,-4.66875574908483E-10
10025,0.000014459917609,24.28301082683370,20911.7093021014,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
10026,0.000014031358458,-18.36937882532890,8803.7728765201,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
10027,0.000016495701151,12.34365240231020,-8326.4244356750,-4.92145822096245E-04,-6.53634822406344E-07,3.12535139527262E-09
10028,0.000014454621902,-0.06341143382143,-1102.1770397878,-4.01682568963052E-04,-4.75724103327885E-07,2.23853020978706E-09
10029,0.000013656166987,-70.18892399974960,508.5105633937,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10030,0.000016179948709,18.80057364565560,-5060.5707401943,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
10031,0.000013742596961,21.45023836788640,29931.0651188005,-5.03134343896153E-04,-3.15084580750744E-07,1.24791041517594E-09
10032,0.000013790596328,36.16320850840900,8454.9455514501,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
10033,0.000014183318935,-22.92596611990070,7757.8706337195,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
10034,0.000017599213632,10.66277024734000,-54.3999899661,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
10035,0.000019246636067,0.92767499082503,-24950.0258574667,-8.27645214935464E-04,-1.19147664825375E-06,5.77190079908146E-09
10036,0.000014545046768,-63.37262206050890,7857.9124786923,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10037,0.000019199568698,-0.83761558687121,-4651.8172865020,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
10038,0.000015482489215,11.14235843371220,9316.2385519068,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
10039,0.000016633405600,24.37093488302380,5815.1324520665,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10040,0.000013890861298,-4.64371767500776,5655.0968977847,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10041,0.000019204840480,36.98987736937200,10218.5452120176,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10042,0.000013650788074,5.87521556339437,7922.5695096782,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10043,0.000019057870021,11.39648105792850,32738.2732248441,1.76572484771685E-04,4.90747315752635E-07,-2.53082437812799E-09
10044,0.000015700088390,46.76762029541950,14433.0567629742,-5.89243575534645E-04,-6.27921177424921E-07,2.89191360781838E-09
10045,0.000013797255191,70.53603118717140,-1419.3498570857,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
10046,0.000013612537215,4.18954030561605,8883.4026803159,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
10047,0.000018992765123,7.64682244503388,16631.6456996306,-1.28012330752967E-04,-1.06904325566739E-08,-5.88563808866977E-11
10048,0.000015907063252,1.70103745460776,262.5090872086,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
10049,0.000017563224233,-27.28607626180680,8314.0214517979,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
10050,0.000014295373293,19.41900391875320,10993.0971635469,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
10051,0.000018686881909,-43.39267885516630,-178.0844977377,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10052,0.000017698050950,-11.27758848003880,307.4005368871,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10053,0.000016638831035,16.85788655227300,575.7317340968,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10054,0.000015391637415,8.90901770482480,16577.8223835931,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
10055,0.000013567521680,4.69600202581421,11850.4610407206,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10056,0.000014775426800,46.85666410766490,22440.0289086340,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
10057,0.000014713707951,-20.47327057650760,7400.6476148963,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
10058,0.000015881304267,7.01775652986407,7962.8929267865,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
10059,0.000014811723829,9.86860295745811,17249.5820837288,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
10060,0.000015888800552,0.16483111043099,-18340.8004164861,-2.73670238210085E-04,-4.65033670771211E-07,2.29738659067375E-09
10061,0.000014445333559,8.67253834558699,-279.4392437551,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
10062,0.000017627097551,7.49124861089266,16689.0220384802,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
10063,0.000016392602212,-5.37013725712474,1051.0676018353,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10064,0.000018901538121,7.97152695546832,30837.6027261930,-1.94195506876800E-04,5.14272899628475E-08,-4.66875574908483E-10
10065,0.000014125446771,6.70061722275357,-1019.0685853873,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
10066,0.000013985992403,-6.76730008277895,-0.9561746721,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10067,0.000019026115327,15.98997001144120,32807.1148162963,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
10068,0.000017543671233,5.91060229411479,14.8079160809,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10069,0.000013624994770,1.09614797107766,22575.0156426162,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
