n,vn,an0,an1,an2,an3,an4
6001,0.000052907412243,-13.52668586786180,31779.0778199780,-4.19030991144746E-05,3.02146164117502E-07,-1.70285957352913E-09
6002,0.000055242338633,-15.29110122929180,16648.5226937063,2.71493227462735E-04,5.32496609569070E-07,-2.67597759425219E-09
6003,0.000047603016568,-10.05310648395120,6654.4473857844,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
6004,0.000048581084846,20.47335025144820,15527.0065464673,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
6005,0.000061665049248,51.22402004679290,-1583.6765367190,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
6006,0.000063461028263,15.00044738425080,8328.5506373504,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6007,0.000063460363200,-0.86456029121238,8328.8322118965,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6008,0.000057161925994,10.22967776307100,13817.4501719456,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6009,0.000054852632436,5.14274113735698,17964.6401934407,-1.28012330752967E-04,-1.06904325566739E-08,-5.88563808866977E-11
6010,0.000062316493850,-50.30566633603380,9680.4784267988,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6011,0.000046761215110,-12.23440289236470,23857.9392033338,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
6012,0.000061892017862,-33.34534545988150,10156.5262810965,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
6013,0.000055015505678,-24.71306698962220,-16666.2430047874,-3.37676403586569E-04,-4.70378887049548E-07,2.26795840023040E-09
6014,0.000046239570968,-64.54708871658200,10665.3891604483,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
6015,0.000060463965266,21.63754191407750,6888.6381202695,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
6016,0.000062835813834,19.00547550436680,22050.9573092824,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
6017,0.000045073610026,11.83233274824650,2.2599693512,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
6018,0.000051697356441,22.13256635307760,8517.0787013226,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
6019,0.000063032402182,19.43957451746870,39952.3360902024,-4.19030991144746E-05,3.02146164117502E-07,-1.70285957352913E-09
6020,0.000056187922976,-61.49958227782020,7563.6661371185,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
6021,0.000053793905914,17.32938791966130,20949.4466612156,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
6022,0.000050874171687,10.31258176427720,21671.0542507877,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
6023,0.000053997177171,10.61745080943920,-7496.2488193643,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
6024,0.000046985874249,7.82307350687642,8059.6233818157,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
6025,0.000048763907431,14.68487144420100,15387.6497679575,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6026,0.000052343888002,13.02911178333560,25084.2900511393,5.51946543239257E-05,2.76432519136078E-07,-1.46942178607489E-09
6027,0.000054943735044,-82.68526528773340,-2.9429656316,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6028,0.000046230089487,25.83705671526410,24731.6428341944,4.56877223286978E-04,7.52156622463964E-07,-3.70795199586195E-09
6029,0.000047021951832,12.01729727491510,6522.4769018461,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
6030,0.000061949003404,14.12371722865900,16181.3711562828,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6031,0.000060960842893,-8.28671027649049,4240.7473733531,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6032,0.000060489937684,29.88924056849230,24486.6353884525,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
6033,0.000061449521589,3.38325965917888,-182.3175181414,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6034,0.000055709207924,2.22458251573498,-479.7620186204,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
6035,0.000045982682345,9.62129093989322,106.6495398893,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6036,0.000062589872005,19.21968799978360,15771.4819497352,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
6037,0.000062582958199,8.21647469826288,-10438.9113890108,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
6038,0.000054200546959,-72.17532030470310,5957.4544088180,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
6039,0.000054415096140,20.60875078047150,11395.3069211552,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6040,0.000051181059138,17.57073313288350,8124.0577316296,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
6041,0.000048506650141,3.29713750100819,-25.7371496163,-4.32597146277619E-04,-5.12128180865983E-07,2.41311161635460E-09
6042,0.000053886848494,28.20204448357700,5817.7622843827,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6043,0.000050208019389,-28.06178067671830,6656.3962697677,-4.03859579710402E-04,-4.08261164530027E-07,1.85993920620862E-09
6044,0.000045736473111,-23.18554164549790,-8310.3291083080,-4.01682568963052E-04,-4.75724103327885E-07,2.23853020978706E-09
6045,0.000045084412361,11.90973857181810,-11.7401740104,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
6046,0.000051395366812,13.00974764708590,13347.3385330667,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6047,0.000050649091620,17.74874250801730,24457.0934836950,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
6048,0.000059937319091,6.51749117999362,-9443.3199838886,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
6049,0.000052314328297,4.88715042081964,-155.1045220242,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6050,0.000048433251537,24.14676052311560,30457.9123403849,-1.32366352247667E-04,1.24235445039043E-07,-8.16038388043571E-10
6051,0.000046638335521,2.00273702175048,7198.6330114657,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6052,0.000050006524760,52.97207778996120,6657.1009016839,-4.03859579710402E-04,-4.08261164530027E-07,1.85993920620862E-09
6053,0.000062340328410,-21.12159968817730,16942.1833760539,2.42800770093589E-05,2.40028441597980E-07,-1.29484037950734E-09
6054,0.000061077412136,8.11359941172868,10149.6244558265,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6055,0.000046204623840,11.88249607381930,8105.4383884626,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
6056,0.000059977976176,-18.16972601978730,-20.6787757720,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
6057,0.000054022648021,6.78462420250198,7405.5786471539,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
6058,0.000044156965076,18.08208508228240,39374.3851026891,1.99260555146589E-05,3.74954319193697E-07,-2.05202238666422E-09
6059,0.000046246180472,14.60425268249970,-11.4917228541,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
6060,0.000051757954173,6.41833505208744,8328.6809024196,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6061,0.000048244733671,-19.53495714775880,7698.3062967942,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6062,0.000051620125404,2.53119009495960,8988.1774131841,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
6063,0.000051725960944,7.71761166917697,8328.7019468273,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6064,0.000051180115908,-54.76921817145770,14969.8036351225,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6065,0.000048762279413,18.31862822389980,18875.4121629650,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6066,0.000051641541891,21.84199938311750,-3646.2212157628,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
6067,0.000058943117718,16.52564139727650,22678.8202684477,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
6068,0.000044000839163,13.12345824403140,15553.7749167041,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6069,0.000046232680009,34.36344942348270,-1321.8768250600,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
6070,0.000049623448059,358.38707974945300,3.3528737934,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
6071,0.000043845596249,-71.07028225464430,8311.0661118997,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
6072,0.000052493474454,-0.10227150630808,30.9278437665,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6073,0.000043931435055,33.33129113296890,13443.2149970671,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6074,0.000045499899545,-3.86970806085216,24977.4377754875,2.71493227462735E-04,5.32496609569070E-07,-2.67597759425219E-09
6075,0.000048744009384,0.69297233837427,-2234.1728912727,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
6076,0.000044768635481,15.35250342511240,15179.2921909922,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
6077,0.000051010745314,36.83203006938170,7591.3513510520,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
6078,0.000043891094761,41.70446064065500,23454.9887952374,-4.98780322401453E-04,-4.50010458346461E-07,2.00509242233281E-09
6079,0.000060650641963,9.71485203131847,25746.3790636400,2.42800770093589E-05,2.40028441597980E-07,-1.29484037950734E-09
6080,0.000043620840745,9.47530103238335,7860.0024766784,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
