n,un,Bn0,Bn1,Bn2,Bn3,Bn4
7001,0.000012506580373,-10.42721680306110,15673.8374134765,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
7002,0.000012177663457,28.06100517149520,7179.1521873419,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
7003,0.000010043356752,-9.66489753077590,7735.5181747520,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
7004,0.000011825744830,10.54497320083340,-739.6412735128,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7005,0.000012619741043,32.76085215077350,20547.2521631224,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
7006,0.000010436018384,11.40953116867010,13255.6217772368,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
7007,0.000011736153280,-12.78988245846490,32185.4671664031,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
7008,0.000010440200984,-15.34326838665660,32788.9316463750,5.45163465672821E-04,9.97530280340281E-07,-4.97336418492595E-09
7009,0.000012581057554,-16.13030604352010,16673.1153332462,5.51946543239257E-05,2.76432519136078E-07,-1.46942178607489E-09
7010,0.000010736840567,2.12558477321860,-16744.1238981743,-4.89968811348895E-04,-7.21097761204203E-07,3.50394239885106E-09
7011,0.000010987452394,29.97323197535560,39502.0540566476,-5.67140509272636E-04,-3.20429797029081E-07,1.21848222473259E-09
7012,0.000012560404705,-8.22896649113066,11652.8849761062,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
7013,0.000011669068649,10.94344156925690,24028.4781992177,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
7014,0.000010614556692,-11.78393245487080,23964.7304596166,-1.63280929562234E-04,8.78313675009453E-08,-6.41456981476027E-10
7015,0.000010614556692,38.97520279190120,23987.7104353301,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
7016,0.000011852608794,9.70659129655110,-9526.7648087789,-3.06761826272002E-04,-4.33974809511451E-07,2.09337699366286E-09
7017,0.000011234969511,-2.34170715581757,15267.6259643552,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
7018,0.000012522999801,8.57940944876649,-10762.0500708920,-3.06761826272002E-04,-4.33974809511451E-07,2.09337699366286E-09
7019,0.000010925117181,4.47249411689520,-8240.8373725629,-7.39358972549622E-04,-9.46102990377434E-07,4.50648861001746E-09
7020,0.000012340345431,2.19027392479765,7727.6063114339,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
7021,0.000012177556173,18.02458538026970,31939.1228499987,-4.10494080015610E-04,-2.04636800470144E-07,7.39680233268818E-10
7022,0.000012077354032,-14.26888874472300,15565.0457295802,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
7023,0.000012203757229,-18.75692921525240,7787.1096289902,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
7024,0.000012377389666,5.98242461457391,12896.3822349990,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
7025,0.000012143601260,17.83675983326050,16721.8171990607,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7026,0.000011856611633,14.23567568443670,21727.8355933471,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
7027,0.000010400051323,-12.47897260780640,9183.4254694810,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
7028,0.000010674788822,3.79157795844735,-25044.4483408653,-2.09664072833601E-04,-4.59688454492874E-07,2.32681478111710E-09
7029,0.000010399108779,4.69978234123670,-3061.6662313142,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
7030,0.000010053744132,0.63196667218954,-8426.4625760122,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
7031,0.000011625569697,14.36890563133920,13379.5747041221,-2.20652594633509E-04,-1.21138212837274E-07,4.49373801020428E-10
7032,0.000010349662064,21.85349920398830,9807.4752988688,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7033,0.000012002949800,-23.24323497554670,415.3124092914,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
7034,0.000012401007242,15.22208436013700,3641.9634601050,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
7035,0.000010342939153,18.48768434610720,18510.0094991681,-3.13396326577210E-04,-2.30350445451567E-07,9.73118020723060E-10
7036,0.000009367009743,12.64816525281730,23112.6262470752,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
7037,0.000012377607251,19.94994563645240,15666.7072168670,-3.52685988092668E-05,9.85218000576192E-08,-5.82600600589329E-10
7038,0.000011615683171,34.53570802122540,16058.5989359987,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
7039,0.000012250537627,-12.41919824480190,17203.4576065565,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
7040,0.000012219696524,19.95571105942020,22254.6142111405,-5.00957333148803E-04,-3.82547519548603E-07,1.62650141875438E-09
7041,0.000011874515054,20.96444433053420,8499.0544931208,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
7042,0.000010306232341,3.96708199108336,15365.8417416242,-3.13396326577210E-04,-2.30350445451567E-07,9.73118020723060E-10
7043,0.000010432658145,1.93666898096587,-15646.4254954557,-2.73670238210085E-04,-4.65033670771211E-07,2.29738659067375E-09
7044,0.000010019291185,-14.89164388908560,-5824.3212399818,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
7045,0.000010302717881,16.68521241737400,90.1714994301,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
7046,0.000012395893541,22.65731635743030,2875.0997147362,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7047,0.000010030008372,8.48801222629875,-10133.7424858465,-3.06761826272002E-04,-4.33974809511451E-07,2.09337699366286E-09
7048,0.000010297812240,6.00823859842694,11605.9856374527,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
7049,0.000010208317788,16.47242907294100,18256.6891998748,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
