n,rn,dn0,dn1,dn2,dn3,dn4
2001,0.000342006668504,11.88479251085930,16622.4379602375,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
2002,0.000382938649365,-33.38859382403810,-1324.5303409595,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
2003,0.000469782725375,20.86701139743940,18419.4467291535,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
2004,0.000394765318126,9.63115382886892,7901.8890274753,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
2005,0.000381772406303,-1.65717636628754,6128.2999608060,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
2006,0.000382491115850,53.95408571647680,-1323.8257090433,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
2007,0.000437133439904,26.88209505799660,18529.1876931852,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
2008,0.000393250799885,7.34500233034138,6854.8233231205,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
2009,0.000411843561354,31.25865170568240,15542.2020004493,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
2010,0.000369999981436,10.91652446972730,9585.3065947145,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
2011,0.000471938661801,26.63238408433920,32264.5714890425,-1.32366352247667E-04,1.24235445039043E-07,-8.16038388043571E-10
2012,0.000400510253521,23.71241856701920,22679.2648943280,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
2013,0.000410630012120,-4.18188273086537,15543.3065795142,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
2014,0.000469524572750,-1.46546993345285,5970.5656064655,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
2015,0.000469999976418,2.71859985032174,-9409.5629367645,-5.53877044361794E-04,-7.26486610713840E-07,3.47378698788604E-09
2016,0.000469999976418,10.74442428896510,15610.2683842299,-1.27816466025798E-04,-1.07776990192736E-08,-6.03108219300263E-11
2017,0.000469019019845,6.72361956755884,593.3626960362,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
