n,rn,dn0,dn1,dn2,dn3,dn4
7001,0.000017700875879,3.39776560771313,12037.7542657644,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7002,0.000017687368900,-62.92507053465160,11191.5250365657,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7003,0.000017661715828,47.92630775904550,31691.2742598768,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
7004,0.000024112508173,30.04981225559560,4571.1365203934,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
7005,0.000017251644712,6.02818910816570,12636.5029801066,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7006,0.000018318964486,-78.42944270615350,8375.4118564270,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
7007,0.000017958746257,14.07820091361000,928.0285502120,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
7008,0.000020141696334,13.43705501115250,987.5471272834,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7009,0.000024078594641,-1.02818664196754,18762.1731085964,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7010,0.000017158024080,21.82039240893620,8364.4217418226,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7011,0.000023587340857,16.89365108815180,23934.7240930719,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7012,0.000021353212695,8.41576194120288,6803.0082117246,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
7013,0.000017632048607,26.51881661848080,6229.1521317088,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7014,0.000017553541119,12.95766637820510,16701.1536828038,3.35499392839219E-04,5.37841825847407E-07,-2.64654940380884E-09
7015,0.000020632680486,13.22783861528910,8358.1883756350,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
7016,0.000020632680486,5.37513686092574,-8299.1944736119,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
7017,0.000020094465771,34.49209948716430,283.9884811671,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
7018,0.000018242621273,-31.26584743088980,6584.7888779117,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
7019,0.000022661750193,19.88958552272360,8368.5426106364,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7020,0.000021655400415,22.07982481731080,25758.9983020580,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7021,0.000022973914407,12.94379842843680,20791.7123068752,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
7022,0.000017857781051,-0.20811109604761,32748.8149204784,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
7023,0.000023874062827,-2.53644157544921,-9064.3767664772,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
7024,0.000017466288332,40.73274658789200,22400.2140067361,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7025,0.000017868189345,-44.13307368933010,17086.6159248028,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
7026,0.000018522291912,11.21463020402340,7694.4837854927,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7027,0.000019541453164,-1.53289115480269,12667.6545752456,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
7028,0.000020360857365,13.22284231788060,8823.8308531835,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7029,0.000017745432674,17.57854073273120,8395.7556067535,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7030,0.000021450607316,-13.97888666761160,7759.8871571342,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7031,0.000017873923193,5.53904054184778,46625.9616700039,-4.62571206091747E-05,4.37072041713219E-07,-2.46004158068600E-09
7032,0.000017873923193,63.12574635521100,46630.5640698867,-3.50841936133827E-04,-6.43657065960901E-08,1.19264165552943E-11
7033,0.000017642267120,-20.24559822408760,-187.0075606041,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
7034,0.000017007270638,40.63534313157290,16625.9026217331,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
7035,0.000023008784570,17.10724096361010,405.6402081110,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
7036,0.000023012535298,22.75104585811460,24998.6935122883,5.18706377916112E-04,8.24964777540159E-07,-4.05711480899704E-09
7037,0.000018835387435,14.74385065451490,8195.5232681380,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7038,0.000023888951818,44.49294557751250,31338.8441387720,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7039,0.000018257328973,-4.22414493263713,1845.1078532387,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7040,0.000018056708477,20.94879024722100,8306.3847255099,-4.03859579710402E-04,-4.08261164530027E-07,1.85993920620862E-09
7041,0.000019869297926,12.17213988433130,6787.2604682102,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
7042,0.000021964740822,4.20553905715531,24754.1847393266,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7043,0.000019822421968,14.08803808189740,-362.3680473343,-3.39853414333919E-04,-4.02915948251690E-07,1.88936739665197E-09
7044,0.000017723876670,-91.84893305995620,19502.9434644235,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7045,0.000019752374115,-7.05020727092110,10511.0339449850,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7046,0.000017562413587,-100.22310893399900,8326.3969382328,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
7047,0.000023820157901,13.35791210984900,16538.3456951040,-4.98780322401453E-04,-4.50010458346461E-07,2.00509242233281E-09
7048,0.000017849041070,90.99120850930370,8018.9030547612,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7049,0.000018178131827,0.22461933926284,12476.1387934500,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7050,0.000017933421063,3.79400352663051,156.5803685251,-4.32597146277619E-04,-5.12128180865983E-07,2.41311161635460E-09
7051,0.000020442579510,18.53698766107460,18955.9900903334,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
7052,0.000018737387771,5.30606868653429,21435.7676354351,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7053,0.000018010654577,8.30589130125450,-10070.9162234672,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
7054,0.000017499745943,97.99899776518330,13799.8114321204,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
7055,0.000019628183566,19.23929856118390,-832.9412780394,-3.39853414333919E-04,-4.02915948251690E-07,1.88936739665197E-09
7056,0.000020135453693,18.50911565866200,2797.5474537241,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7057,0.000019783767638,-9.90950771484706,9724.9920055991,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7058,0.000017027456622,112.30441099195600,6649.8430558202,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7059,0.000020439838139,32.99796275870600,31317.3981145072,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
7060,0.000017668139620,0.25740272504754,4942.6780961279,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
7061,0.000022887221618,35.07533058305000,16346.8451728236,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7062,0.000018625721141,11.85627346244240,11661.3492976067,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7063,0.000016774244110,12.28420360375720,25092.0124682927,4.56877223286978E-04,7.52156622463964E-07,-3.70795199586195E-09
7064,0.000019355860917,21.25256916629440,11571.0749594363,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
7065,0.000019346575320,-8.64660841463893,-3963.9911243850,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7066,0.000018886451613,3.87230471306034,6985.3257298660,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
7067,0.000023428396579,-13.82727295256920,15224.9843813595,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7068,0.000019147065019,2.03275516905309,8861.3700965021,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7069,0.000017953202029,-6.38888539937162,5655.0968977847,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7070,0.000020126845815,14.66026211274090,17699.3749202423,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
7071,0.000020276713986,19.57690147386740,17844.8195867860,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7072,0.000023371964854,29.29990944342290,31078.9496243644,-3.17750348071910E-04,-9.54245678558509E-08,2.15936013566187E-10
7073,0.000017718214822,2.06135674884047,4753.8016223874,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7074,0.000018327955922,-1.24483157645579,12083.1178237570,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7075,0.000023475963877,32.62276344673850,35737.3258664655,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
7076,0.000021220862457,-85.25465910099670,23243.0400779858,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7077,0.000018344352422,4.92751477399867,1108.0171597130,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7078,0.000023379305483,17.97436783220200,8333.5614375120,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
7079,0.000017756952301,6.28831871051397,-1247.7367815905,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7080,0.000018927843562,-12.47911639844950,10937.8363421332,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
7081,0.000021319614853,-12.63192130237380,14308.6810250229,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
7082,0.000023149570790,17.67566131513190,7043.2105998196,-5.89243575534645E-04,-6.27921177424921E-07,2.89191360781838E-09
7083,0.000017266924974,-23.89971788710130,-8221.4526436537,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
7084,0.000019727834218,-0.51235380168958,606.2663316008,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7085,0.000019493124407,13.29441043713800,-8291.9316627530,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
7086,0.000022569241238,-65.16871746741120,10563.2174515202,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7087,0.000016570224896,15.02466827216210,7684.1745042372,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7088,0.000020761942194,21.21811908015630,7653.4845009245,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
7089,0.000019277690163,-12.89018239592480,9523.4868177017,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
7090,0.000017412206872,45.66215262953110,6101.7355060346,-7.41535983296972E-04,-8.78640051579575E-07,4.12789760643903E-09
7091,0.000016794021684,63.88927603709780,7676.2053129066,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
7092,0.000019911346835,4.01854253086378,1034.4294999908,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7093,0.000021787553037,10.17640559688810,5233.5801363439,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
7094,0.000018588027460,34.82844220082370,6177.0018266205,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7095,0.000016711213448,80.25836359788240,22661.6453232558,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
7096,0.000018880800654,11.07245684325730,1726.7268089699,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7097,0.000017805418221,61.06787127331650,15933.9034321171,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
7098,0.000018199538233,104.52273916404900,-9443.2219323147,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
7099,0.000018193724764,-91.57883183039630,-9443.4180354624,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
7100,0.000022137211425,10.84881939521490,18958.7368005843,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
7101,0.000019290094617,-8.48116441996646,10118.0129752920,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7102,0.000017483530752,8.63938744748730,16656.2193876926,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
7103,0.000017263910907,-25.94760066585480,22891.8038893223,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
