n,rn,dn0,dn1,dn2,dn3,dn4
12001,0.000005711168665,-4.84223633260511,-18263.2481554740,-2.73670238210085E-04,-4.65033670771211E-07,2.29738659067375E-09
12002,0.000005210137790,-67.17850873601810,16115.6105979027,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
12003,0.000005560204487,31.51528281894110,12933.6093724720,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
12004,0.000006874295284,31.82970840819000,38692.5924150149,-3.50841936133827E-04,-6.43657065960901E-08,1.19264165552943E-11
12005,0.000005654049270,1.45501384399268,8377.8577522253,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
12006,0.000005046028973,-0.80655137142328,15239.8714500251,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
12007,0.000005154911436,-33.47300763643780,-16657.7016528984,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
12008,0.000005577526266,79.63178020307030,8538.2341768090,-2.80304738515293E-04,-2.61409306711328E-07,1.17712761773395E-09
12009,0.000005164047314,79.52705117363730,16654.9950162717,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
12010,0.000005019796315,43.93338809946480,24285.1367618727,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
12011,0.000005173748937,-31.78547976274600,23378.1248635418,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
12012,0.000005701828175,11.21541764223920,2140.8728867461,-4.01682568963052E-04,-4.75724103327885E-07,2.23853020978706E-09
12013,0.000005005061901,13.49493637854840,7715.8136934705,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
12014,0.000005744920316,-17.95383242298080,2510.9291402408,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
12015,0.000005382484475,7.28945447958757,9436.7085843365,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
12016,0.000006804130080,42.70027491468860,-8156.0366319236,-2.42755660895518E-04,-4.28629593233114E-07,2.12280518410621E-09
12017,0.000005261524647,8.00302235885208,617.9983037901,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
12018,0.000005720799866,3.12138741491503,-11378.8849131279,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
12019,0.000005021295204,-47.26886397425390,11961.8192324373,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
12020,0.000005160743177,-63.82240350455990,16659.7706822220,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
12021,0.000005461163118,9.47199068554883,-9572.6873562965,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
12022,0.000005960293067,9.60684723860627,23331.0521157802,2.71493227462735E-04,5.32496609569070E-07,-2.67597759425219E-09
12023,0.000005652895280,-4.61242714515239,5917.6059849932,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
12024,0.000006855066945,5.15247859821931,-16064.0201532107,-4.89968811348895E-04,-7.21097761204203E-07,3.50394239885106E-09
12025,0.000005648805145,-10.45838998244300,-5771.3616185095,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
12026,0.000005391233149,-22.79643761249790,-7894.2008213149,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
12027,0.000005116380901,-20.15599389870340,5639.6777866450,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
12028,0.000006798371417,48.83453524522360,8894.3671870163,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
12029,0.000005106635606,-37.95168991635330,729.5128915725,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
12030,0.000005083662360,65.79128566282420,32065.1504052465,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
12031,0.000005233203486,68.92546934761620,7224.8292276965,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
12032,0.000005630517738,10.72327779155850,9006.6624071041,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
12033,0.000005204588188,-116.41674922077300,18795.0060755821,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
12034,0.000005683374986,11.83567318907840,-668.6479680998,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
12035,0.000005219089456,-89.70900237981880,17029.5280261393,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
12036,0.000006337035994,2.99759763360660,-9148.5242672035,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
12037,0.000005871865405,9.91957726778643,25055.9041177291,5.51946543239257E-05,2.76432519136078E-07,-1.46942178607489E-09
12038,0.000005473734739,29.13635378090630,18924.8384951944,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
12039,0.000005896534117,10.42736165900560,11727.7532544183,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
12040,0.000006428847076,9.81389960525214,-8970.1169208673,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
12041,0.000005076891512,-10.50591890389200,11863.5789519189,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
12042,0.000005718947832,6.23795964884351,42.6598159557,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
12043,0.000005504976329,-11.09105095402110,7273.5661829146,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
12044,0.000006636152463,50.17928709504150,32319.5818449224,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
12045,0.000006834562534,29.47294894297480,30363.9009903914,-5.03134343896153E-04,-3.15084580750744E-07,1.24791041517594E-09
12046,0.000005773704255,-4.66537751264746,11959.1648968717,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
12047,0.000006530594108,6.89959652067041,-1865.7350853806,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
12048,0.000005149384950,33.90955291904750,29451.2915513191,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
12049,0.000005396142196,16.50149676222110,12126.7717793792,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
12050,0.000006212926611,-36.49273692323720,-8312.1829939340,-5.53974976725379E-04,-7.26442977482540E-07,3.47451420840771E-09
12051,0.000006602232670,40.90910971756580,31496.5784931124,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
12052,0.000005076063392,3.98433746899842,-1118.4418510782,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
12053,0.000005827850591,20.69871242214930,21136.7398862594,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
12054,0.000005021852187,-32.94230281537270,15471.4086686107,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
12055,0.000006080057432,-5.11923457684543,-11426.4585162942,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
12056,0.000005667278335,18.80288108744640,18981.7272399496,3.35499392839219E-04,5.37841825847407E-07,-2.64654940380884E-09
12057,0.000006792556265,-14.21107610818450,-7972.0882760195,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
12058,0.000005024295659,10.43051439938490,8592.3639733863,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
12059,0.000005247758450,4.23627259897037,7248.2964089009,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
12060,0.000005264149602,-30.22709619924070,15538.5992044143,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
