n,rn,dn0,dn1,dn2,dn3,dn4
10037,0.000008907174777,-1.57611663572010,15550.4424961421,1.47938386267626E-04,3.85644751750371E-07,-1.99316600577752E-09
10038,0.000008907174777,28.65316913952610,15535.0660838214,-2.80304738515293E-04,-2.61409306711328E-07,1.17712761773395E-09
10039,0.000008645302825,9.92195105179098,5137.6243284261,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
10040,0.000009933677195,-18.21808670717250,15056.0809998041,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
10041,0.000008105937804,27.81555587960080,16031.1528069850,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
10042,0.000007391598505,14.75854612121790,16798.6581146060,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10043,0.000009053672221,34.50941108010500,12403.5175646954,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10044,0.000008409531554,6.36394102985684,14914.2982878790,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10045,0.000007686238752,-29.68017734271620,-13.5065112714,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10046,0.000007704424942,-22.31783364545740,8435.9302055932,2.14121562391459E-04,3.23527029230850E-07,-1.58514681175573E-09
10047,0.000007760918511,24.85857807806490,37688.1845410839,1.99260555146589E-05,3.74954319193697E-07,-2.05202238666422E-09
10048,0.000009040964379,3.86026227545328,22757.3694448726,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
10049,0.000008608116895,-24.70837206809960,7907.6321053728,-1.28012330752967E-04,-1.06904325566739E-08,-5.88563808866977E-11
10050,0.000008741824782,-16.41623607374530,16656.2545865986,4.56877223286978E-04,7.52156622463964E-07,-3.70795199586195E-09
10051,0.000008741824782,32.12163958247210,16658.5111118951,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10052,0.000009521214533,16.00325400467870,7127.3123406920,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
10053,0.000007557317225,43.49629264966180,15591.2056902625,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
10054,0.000007863364063,-47.66767170808070,6585.3671385193,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10055,0.000007839835587,5.67625879008323,-8321.0289416301,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
10056,0.000010042892634,15.28577161607330,29120.4037314986,-1.32366352247667E-04,1.24235445039043E-07,-8.16038388043571E-10
10057,0.000007374451826,15.47461608006800,23254.1587562820,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
10058,0.000009684820130,8.76974487582262,-1626.6886686328,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
10059,0.000010359575644,18.04392110325060,23921.1091120403,-9.92747641857504E-05,9.31765837792822E-08,-6.12028791032678E-10
10060,0.000010350390574,14.52889149301610,10072.7310963283,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
10061,0.000010352055405,36.39972547501720,41772.3258227449,1.99260555146589E-05,3.74954319193697E-07,-2.05202238666422E-09
10062,0.000008612995883,17.75154667899710,-8507.5879680011,-5.95486758186258E-05,-1.41506641540361E-07,7.12239778918019E-10
10063,0.000010243802726,45.38722046251520,16801.6706600142,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10064,0.000009167390860,34.71922710715290,15718.5375877780,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10065,0.000007760127757,45.68483728187900,8185.8775086424,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
10066,0.000008777963888,61.85097183547640,7201.2609860031,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10067,0.000007371349982,7.13599716924906,15539.9008005079,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
10068,0.000007371349982,19.94105533455690,15545.6077794556,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10069,0.000008708369536,17.08511263236210,18544.9354366997,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
