n,un,Bn0,Bn1,Bn2,Bn3,Bn4
5001,0.000023379719824,16.97497600248440,23401.5933051059,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5002,0.000023045673572,-3.94472085275206,11541.5512876389,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
5003,0.000024401844797,36.04617490056630,8280.6628354088,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
5004,0.000023017821626,16.57515927377880,25659.6380147126,-1.61103918814884E-04,2.03684287030868E-08,-2.62865977897590E-10
5005,0.000021009850270,7.45960553162291,-10175.6909563353,-3.06761826272002E-04,-4.33974809511451E-07,2.09337699366286E-09
5006,0.000024604439170,10.03382215739840,16780.1912660557,-3.13396326577210E-04,-2.30350445451567E-07,9.73118020723060E-10
5007,0.000026502057660,28.95750489291570,28064.1644987437,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5008,0.000020915044009,1.58167781079979,-16838.5988255259,-5.73716650712757E-05,-2.08969580338220E-07,1.09083078249645E-09
5009,0.000020557490845,12.34212556907890,33366.5713341507,3.92871057910494E-04,7.46811406185627E-07,-3.73738018630530E-09
5010,0.000022303791107,17.02230895689250,24561.8682165632,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5011,0.000023568849537,23.00286470472580,15996.3973641404,-2.20652594633509E-04,-1.21138212837274E-07,4.49373801020428E-10
5012,0.000027487887028,41.06902525140140,30264.5559625611,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5013,0.000027243831303,7.10449035627528,24147.0727130120,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
5014,0.000027401549864,38.93792156335240,14576.6865566569,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5015,0.000022844170635,15.45760761726080,-5716.1007970958,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
5016,0.000025428459492,17.09292860715670,9101.5886444351,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
5017,0.000020449537283,-8.24527083212207,32093.0612064191,6.06992620301954E-04,1.07033843541647E-06,-5.32252699806103E-09
5018,0.000027315086936,15.64470759222960,14224.0242029782,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
5019,0.000027321089736,-5.04422944980917,19259.9688111575,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5020,0.000022223161106,84.12559726534490,16118.3079687810,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
5021,0.000020761232511,93.81885836809530,32289.3698438084,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
5022,0.000022722968226,8.15169513314297,-924.5980997093,2.47213150453376E-04,2.92468167971089E-07,-1.38113721474484E-09
5023,0.000020375912451,-11.34454567895830,41955.4801217802,2.64858727157527E-04,7.36120973628953E-07,-3.79623656719199E-09
5024,0.000021982535868,9.09876244952510,7249.7190998346,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5025,0.000023760552112,32.10260466693460,15646.9767333174,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5026,0.000024657303495,30.84879940035800,23353.9463368706,-9.92747641857504E-05,9.31765837792822E-08,-6.12028791032678E-10
5027,0.000020009857163,14.79427662169360,-1314.9632660110,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5028,0.000023726374973,-9.62276477191732,15648.0813123824,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5029,0.000021342289922,-23.36948230140460,-8182.4470581397,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
5030,0.000022108625191,103.51013007624900,31190.2765992810,-3.48664925386477E-04,-1.31828645393948E-07,3.90517420133731E-10
5031,0.000022107918320,-53.95290517650740,31190.2900263824,-3.48664925386477E-04,-1.31828645393948E-07,3.90517420133731E-10
5032,0.000020502905390,6.05793941682116,25718.4452463171,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
5033,0.000025119528437,29.95283353927350,10961.9455684079,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5034,0.000019516726582,-47.45385938589670,166.1651374972,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
5035,0.000027191646190,29.91574484414700,19761.2102237365,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
5036,0.000027108638240,-9.72293289094027,2000.0155264814,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5037,0.000022581685122,3.73597118352979,-17659.5332099683,-5.73716650712757E-05,-2.08969580338220E-07,1.09083078249645E-09
5038,0.000024813088266,49.30269985895120,-10176.0499858441,-3.06761826272002E-04,-4.33974809511451E-07,2.09337699366286E-09
5039,0.000022251956490,-29.88296476709590,10419.5942191552,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5040,0.000021105202603,15.53979212335110,14879.5018159268,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
5041,0.000023565849864,26.41331328177490,16761.6052925825,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
5042,0.000023563061638,-15.30485838114080,16762.7098716475,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
5043,0.000020984009710,13.74325966226010,17144.8073508606,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
5044,0.000027090345597,27.18535471429690,35842.1005993337,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
5045,0.000023092205077,-0.56150508258207,-2599.9713891096,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
5046,0.000022508397829,9.46182595695894,24403.0228446215,-1.61103918814884E-04,2.03684287030868E-08,-2.62865977897590E-10
5047,0.000025237376641,-42.03768739894460,9196.7604765193,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
5048,0.000026845718548,1.51608893217902,-11120.1785955286,-3.06761826272002E-04,-4.33974809511451E-07,2.09337699366286E-09
5049,0.000020269194115,8.95168807919807,-8236.3682112326,-3.37676403586569E-04,-4.70378887049548E-07,2.26795840023040E-09
5050,0.000019178006383,6.59981837067131,147.4345488239,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
5051,0.000026943891375,0.82322509786195,3179.0784355603,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5052,0.000024011762523,5.47839556712408,15071.4791895487,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5053,0.000022198128590,9.64636420693423,23326.5829544500,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5054,0.000026661800045,5.66574831450541,-19027.4631170488,-4.59054234034328E-04,-6.84693683666105E-07,3.32936099228351E-09
5055,0.000020246033691,-68.31659205131130,9303.9992574891,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5056,0.000023782960195,19.02718774241160,22826.2548172715,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5057,0.000019077211035,-131.24182147701400,8436.8022610561,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5058,0.000020130524220,-8.71467816396480,17217.3117016804,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5059,0.000019055041366,11.62095258667080,7630.9461776465,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5060,0.000020061290440,36.28992765594400,7668.9036120642,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
5061,0.000022352715475,26.75530158814810,18364.8943832456,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
5062,0.000019368651876,31.31429100580660,7483.1642778598,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5063,0.000023069805257,2.77596356249532,-9617.9245606155,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
5064,0.000026867279556,-0.87423484266424,-16159.5871466857,-5.20883388663462E-04,-7.57501838742301E-07,3.67852380541860E-09
5065,0.000022539563109,17.29321710695430,14724.9750962305,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5066,0.000020000000000,14.66089769239320,31676.6042870513,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
5067,0.000023426979083,9.65461577032522,15994.1303751919,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
5068,0.000019348046021,12.26842333380890,32897.1710407387,3.92871057910494E-04,7.46811406185627E-07,-3.73738018630530E-09
5069,0.000022268611352,16.65447039166530,2036.0981538779,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
5070,0.000023366362905,6.32692492119116,7691.1950516626,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5071,0.000022134011819,19.29622040932210,8943.8810984707,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
5072,0.000025834600288,26.48086585080340,2868.5407591370,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5073,0.000022215721280,4.26109608222223,15288.2894806121,-3.13396326577210E-04,-2.30350445451567E-07,9.73118020723060E-10
5074,0.000026660259342,34.14864964376230,21542.8435682447,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5075,0.000022955372524,-5.20552825947428,-8507.0624868447,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
5076,0.000024461292270,17.10554904020740,23960.2209392493,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
5077,0.000025742500761,33.56759879885690,8122.9284810683,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
5078,0.000022173339695,15.72156908239000,-5899.5723010525,-3.37676403586569E-04,-4.70378887049548E-07,2.26795840023040E-09
5079,0.000026201512269,17.10833990937950,24004.6063808836,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5080,0.000019638095676,-20.42652498141090,8430.7950945852,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5081,0.000019638095676,-23.68233546822510,-8436.1372203980,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5082,0.000026608693064,20.44529561644580,8124.0577316296,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
5083,0.000019851434587,39.95897951935190,41960.0825216631,-3.97260883671246E-05,2.34683225319643E-07,-1.32426856995069E-09
5084,0.000019283086235,22.10752448279770,24607.1578648351,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5085,0.000019767970879,60.68347949541340,16332.9245065590,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
5086,0.000019271186974,-70.44032902565010,9966.0882699898,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5087,0.000025946749960,15.58496810190990,39454.5403876413,1.74395474024335E-04,5.58210254550494E-07,-2.90941538170643E-09
5088,0.000025820386282,25.46719906332140,29830.0568714267,8.39322208911425E-05,3.80299535472034E-07,-2.02259419622087E-09
5089,0.000019896871203,22.68434215252610,11117.0500904321,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5090,0.000022067358137,13.81147769425680,2593.4124335105,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
5091,0.000019270178024,46.45839222817180,23993.4934442390,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
5092,0.000026130655901,5.07783624179434,4358.1413446393,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5093,0.000026507400533,-0.57852638763842,-16945.6290860717,-5.20883388663462E-04,-7.57501838742301E-07,3.67852380541860E-09
5094,0.000026407499725,-116.85754566791100,104.4291304608,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
5095,0.000026407499725,124.82702501472100,105.1203352755,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
5096,0.000019111331918,4.05858645499124,31110.6535090359,-3.48664925386477E-04,-1.31828645393948E-07,3.90517420133731E-10
5097,0.000022381794195,11.36575453673150,-1794.0304345007,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5098,0.000020198999311,-0.37221590927735,6119.1111728906,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5099,0.000021939827897,17.61159187455980,7390.9754137159,2.87375665672167E-05,1.03867016335956E-07,-5.53172410145980E-10
5100,0.000022034500482,2.02654179365557,-3520.7572434707,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5101,0.000019334266572,16.45104942732570,15038.4091075604,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
5102,0.000022039202088,-12.96684639486040,16726.0749547184,2.71493227462735E-04,5.32496609569070E-07,-2.67597759425219E-09
5103,0.000022555828107,19.80111190140700,18380.6421267601,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
5104,0.000018694500382,4.70000436237198,5162.5868309309,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5105,0.000020000000000,15.48870978708220,16275.8309780640,-2.85145630755551E-04,-1.93329975799307E-07,7.44096885903726E-10
5106,0.000020000000000,12.23296038679170,-591.1013369192,-1.57133300002584E-04,-1.82639543242633E-07,8.02953266790424E-10
5107,0.000026397551981,1.65540498526085,-25054.8005903349,-6.11346641796654E-04,-9.35412557820760E-07,4.56534499090416E-09
5108,0.000019282667618,7.44519985393966,-140.8830834318,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
5109,0.000018682110803,51.93999134205880,22878.8648849739,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5110,0.000020021454763,-61.91946066536000,32320.4539003852,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
5111,0.000019369387123,10.71575049366680,15743.0889967277,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5112,0.000021897888924,2.95287271522244,-10039.3314637187,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
5113,0.000021886458127,23.22373594487820,32586.5991533225,5.30176435765757E-05,3.43895457933937E-07,-1.84801278965332E-09
5114,0.000018941901804,-57.64834911746880,16625.4398796556,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5115,0.000021575136823,-9.22421407591759,-4252.2373612099,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
5116,0.000021690264766,24.06529196919560,24587.6073517113,-5.00957333148803E-04,-3.82547519548603E-07,1.62650141875438E-09
5117,0.000022546380809,1.30447592552485,-9321.6245702128,-3.68590980901135E-04,-5.06782964587646E-07,2.44253980679795E-09
5118,0.000019108770639,16.76576805404100,25084.9489526532,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5119,0.000023793034923,3.32511167716825,-8310.6672164217,-3.37676403586569E-04,-4.70378887049548E-07,2.26795840023040E-09
5120,0.000019646049936,-15.04243884783790,8266.8716476106,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
5121,0.000019646049936,-18.29824933465210,-8600.0606673726,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
5122,0.000024898340085,10.97707593142770,4860.9032783640,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5123,0.000018702432223,6.21075290026302,8134.8392439805,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5124,0.000021337110067,8.19495702300809,15604.8692068942,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5125,0.000018754960889,102.61547160557600,24000.4933210828,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
5126,0.000021920838420,-19.09951500377900,-324.3288642214,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
5127,0.000018745661317,0.97884662493887,-3262.0604016103,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5128,0.000022012993885,22.75405770686300,38104.6252130236,-1.96372517624150E-04,1.18890228760706E-07,-8.45466578486919E-10
5129,0.000019662509838,3.21823876120863,-3573.7263406819,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5130,0.000025149343542,52.20325411867800,15263.1779212335,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
5131,0.000021835443517,6.80715240339623,16151.8836810102,-3.13396326577210E-04,-2.30350445451567E-07,9.73118020723060E-10
5132,0.000021432576408,16.78897928817250,-1200.2156223772,-1.23554841195109E-04,-1.46851857818698E-07,6.82811588474670E-10
5133,0.000020890346652,8.27093610288425,15174.3259598286,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
5134,0.000020041285729,33.09758494602650,8426.9405715862,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
5135,0.000020201550973,64.32116940047960,-1942.8827092631,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
5136,0.000022369988674,16.02353293407520,8315.5735134252,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
5137,0.000021082677411,-0.36735294924134,16713.4198215217,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
5138,0.000019475892497,43.05821369558830,32097.6636063019,3.02407804777302E-04,5.68900687107167E-07,-2.85055900081973E-09
5139,0.000020430841162,-34.05779971856120,-17877.1384573382,-4.59054234034328E-04,-6.84693683666105E-07,3.32936099228351E-09
5140,0.000025616881089,12.78510100735010,7127.3123406920,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
5141,0.000025561524977,23.75560737618770,25731.7758302020,3.02407804777302E-04,5.68900687107167E-07,-2.85055900081973E-09
5142,0.000022256720600,9.92261625081222,-7994.0445219255,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
