n,vn,an0,an1,an2,an3,an4
1001,-0.000020000000000,44.84354488006700,79037.9494749103,-3.92745035248301E-04,2.37780457521412E-07,-1.69093315697383E-09
1002,-0.000010000000000,40.68747845682540,53632.7762695674,1.55720340199588E-05,5.09880196789414E-07,-2.80920439382109E-09
1003,0.000290001727594,43.94328894363960,70499.7085845506,-1.12440296733008E-04,4.99189764232740E-07,-2.86806077470779E-09
1004,0.000050000000000,46.29884349402640,78828.4000091740,3.98521110293178E-05,7.49908638387395E-07,-4.10404477332844E-09
1005,-0.000070000000000,32.12239050384900,29484.5534166474,-8.76566217037547E-04,-7.53788214426370E-07,3.25741949014367E-09
1006,-0.000239994728689,34.47794505423580,37813.2448412708,-7.24273809275221E-04,-5.03069340271715E-07,2.02143549152302E-09
1007,-0.000289988592954,36.83349960462260,46141.9362658943,-5.71981401512895E-04,-2.52350466117060E-07,7.85451492902369E-10
1008,-0.000169993863849,39.18905415500950,54470.6276905177,-4.19688993750569E-04,-1.63159196240599E-09,-4.50532505718281E-10
1009,-0.000060000000000,41.54460870539630,62799.3191151412,-2.67396585988243E-04,2.49087282192248E-07,-1.68651650433893E-09
1010,-0.000010000000000,43.90016325578310,71128.0105397646,-1.15104178225916E-04,4.99806156346903E-07,-2.92250050295958E-09
1011,-0.000010000000000,34.43481936637930,38441.5467964849,-7.26937690768130E-04,-5.02452948157552E-07,1.96699576327123E-09
1012,-0.000020000000000,37.36398299086220,36627.6286064242,-9.06993923606556E-04,-7.23345745280772E-07,3.10784962138456E-09
1013,-0.000020000000000,39.71953754124900,44956.3200310477,-7.54701515844229E-04,-4.72626871126117E-07,1.87186562276391E-09
1014,0.000030000000000,42.60557547787530,43770.7037962011,-9.37421630175564E-04,-6.92903276135174E-07,2.95827975262546E-09
1015,0.000050000000000,44.96113002826210,52099.3952208245,-7.85129222413238E-04,-4.42184401980519E-07,1.72229575400481E-09
1016,0.000040000000000,47.31668457864890,60428.0866454480,-6.32836814650912E-04,-1.91465527825864E-07,4.86311755384164E-10
1017,0.000020000000000,49.67223912903570,68756.7780700714,-4.80544406888585E-04,5.92533463287902E-08,-7.49672243236486E-10
1018,0.000040000000000,40.20689523963200,36070.3143267917,-1.09237791943079E-03,-9.43005758175666E-07,4.13982402299432E-09
1019,0.000119999999583,42.56244979001880,44399.0057514151,-9.40085511668472E-04,-6.92286884021011E-07,2.90384002437367E-09
1020,0.000170000863589,44.91800434040560,52727.6971760386,-7.87793103906146E-04,-4.41568009866356E-07,1.66785602575302E-09
1021,0.000129999999166,47.27355889079240,61056.3886006620,-6.35500696143820E-04,-1.90849135711701E-07,4.31872027132374E-10
1022,0.000060000000000,49.62911344117920,69385.0800252855,-4.83208288381494E-04,5.98697384429528E-08,-8.04111971488276E-10
