n,rn,dn0,dn1,dn2,dn3,dn4
4001,0.000062966306231,19.50890048660590,8887.8205771171,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
4002,0.000073252542606,13.74003484708590,-6474.9202646258,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
4003,0.000063550972950,-34.33553269886920,15049.4334389184,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4004,0.000071260400428,3.45464119370685,7062.8874666170,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
4005,0.000085677884364,7.24625656410421,21906.3408661403,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
4006,0.000069588826429,6.82477244656848,7691.1950516626,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
4007,0.000065129801007,-5.70478594867895,8025.8085846668,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
4008,0.000088599824410,29.03576891626750,17572.2934882605,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
4009,0.000067572201318,-59.41903315444120,22772.3591836285,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
4010,0.000069038260562,2.81552310866490,9425.6879576141,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
4011,0.000085538613120,32.42655419216240,8804.1956875862,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
4012,0.000073874796881,36.21181608956350,-109.0324885259,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
4013,0.000074760272794,20.52983277750500,25544.4920808971,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
4014,0.000066276275163,12.60661016962570,15304.8378423130,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4015,0.000084836318648,36.50038148252180,14053.1537044795,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
4016,0.000071497035342,22.10405039614890,8313.1934347496,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
4017,0.000084470500583,37.92287601564640,14446.1746741725,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
4018,0.000084867076954,16.63924010405570,31674.0012631112,-1.32366352247667E-04,1.24235445039043E-07,-8.16038388043571E-10
4019,0.000072701084135,25.01127129354260,16235.4962248411,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
4020,0.000071910880860,8.48277337824118,6479.8170858904,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
4021,0.000071743266083,9.87100161749471,8426.9072018925,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
4022,0.000077662415419,26.58614145630600,31636.2639039970,-1.32366352247667E-04,1.24235445039043E-07,-8.16038388043571E-10
4023,0.000065606464346,4.42638484460466,13082.4930470108,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4024,0.000063676679552,6.55582221578599,7203.0422386360,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
4025,0.000081808983413,-58.40567216183540,18071.5266584524,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4026,0.000071803547595,31.32629945004930,29868.7083117704,-1.32366352247667E-04,1.24235445039043E-07,-8.16038388043571E-10
4027,0.000063452450241,-13.76196586577450,8347.0537409389,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
4028,0.000068588139736,9.69770538877052,8893.7206312023,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
4029,0.000064100513079,-12.48063340946010,17936.5399244702,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4030,0.000083177950014,12.30964634767350,7792.7070529687,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
4031,0.000073686160694,4.61006494953156,7294.2619246326,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
4032,0.000079999995986,18.40763742463910,14252.3576924355,-3.52685988092668E-05,9.85218000576192E-08,-5.82600600589329E-10
4033,0.000073554520501,-14.19937072894940,8545.9290965201,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4034,0.000071268946202,25.85006606411570,8674.8130556630,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
4035,0.000086611138304,18.03430551791170,-7294.7436314669,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
4036,0.000065184001331,-54.56783560737400,1017.7257587036,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
4037,0.000082318624364,32.59212592682310,20967.4956046714,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4038,0.000061349594941,65.33503051889990,14190.9672878064,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4039,0.000086424299815,32.71606166080830,39450.2484209906,-3.50841936133827E-04,-6.43657065960901E-08,1.19264165552943E-11
4040,0.000068265335180,17.19891935387200,13746.8490484599,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
4041,0.000071952141642,-0.17830383786154,-11191.1719009416,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
4042,0.000071878135036,18.16273185487830,8916.6586266147,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
4043,0.000085795814720,15.11875094844800,16886.1105090003,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
4044,0.000072190922203,41.22603516730950,8377.3932904380,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
4045,0.000061653382738,-13.48607813088490,14206.5093160948,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4046,0.000082606502402,18.38687957463780,14827.7056560088,-2.51567171948076E-04,-1.57542290375372E-07,6.23955207587972E-10
4047,0.000064229166567,82.83169511300800,7211.6750323832,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
4048,0.000070770402844,11.95506161684690,19.1876697560,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
4049,0.000072142126412,19.48004171486100,3852.6574359178,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
4050,0.000063557847071,-8.03519067831709,17642.2935828964,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4051,0.000064276260574,85.19254979978260,15540.3664570066,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
4052,0.000074024807465,18.64097551541430,6987.5927188145,-1.56646429257026E-04,-1.15792996558937E-07,4.78801991463777E-10
