n,un,Bn0,Bn1,Bn2,Bn3,Bn4
2001,0.000238968536081,6.46113343085208,13921.5135593468,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
2002,0.000289097815176,17.72248992206880,17163.9950206166,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
2003,0.000227934577917,11.35702568069010,8816.1159262372,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
2004,0.000289797246471,10.97554773624140,-826.3823224403,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
2005,0.000290000000000,10.02684999952140,7700.3594592468,1.52390340125910E-04,2.50675240923354E-07,-1.23671121914231E-09
2006,0.000290000000000,17.81267450501730,13728.8060897585,-2.48805358091583E-04,-1.58202315720834E-07,6.77667715318098E-10
2007,0.000290000000000,15.41399444130690,6028.4166203492,-4.03761647346818E-04,-4.08304797761327E-07,1.85921198568695E-09
2008,0.000215778621456,40.70271223712650,23768.9721816785,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
2009,0.000247824356122,22.15898261256590,24022.6211133465,-9.92747641857504E-05,9.31765837792822E-08,-6.12028791032678E-10
2010,0.000210872836236,9.96622651281940,24568.4796161153,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
2011,0.000215463118522,10.00196287376570,25037.8799095273,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
2012,0.000239795772822,-18.57821451686930,-8469.5487848882,2.47213150453376E-04,2.92468167971089E-07,-1.38113721474484E-09
2013,0.000208379038121,-78.56842762550630,8375.4118564270,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
2014,0.000203382876590,9.29816692689684,32265.0969701989,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
2015,0.000213465081107,-77.06935789070620,120.3167611566,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
2016,0.000218550625406,-74.64707070959950,8449.0081857800,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
2017,0.000212877485584,78.75576817882510,89.2327045797,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
2018,0.000284498467045,8.54505035435838,15811.8223327895,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
2019,0.000233692505711,19.26770275616510,23995.4081172294,-9.92747641857504E-05,9.31765837792822E-08,-6.12028791032678E-10
2020,0.000279920385159,-3.66444871230360,16530.2680475713,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
2021,0.000277045038655,9.97367838349516,14258.9166480346,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
2022,0.000202572427241,9.29612344151420,17231.5578755270,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
2023,0.000217007534832,81.04407366145390,8417.9241292032,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
2024,0.000215370745198,9.80726915957304,-1846.9995317119,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
2025,0.000204867157000,11.15218987987050,-110.6747869534,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
2026,0.000260000000000,16.53950926515860,-1253.1847195884,-1.23554841195109E-04,-1.46851857818698E-07,6.82811588474670E-10
2027,0.000231298383309,3.25934801307104,-16742.9699123590,-5.73716650712757E-05,-2.08969580338220E-07,1.09083078249645E-09
2028,0.000279274877274,3.88226432643441,7826.4884804239,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
2029,0.000280020837365,15.53876602799000,32880.2503599312,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
2030,0.000242590680017,17.23835040567910,15630.6083420423,-6.53249740911129E-04,-6.33266393703258E-07,2.86248541737503E-09
2031,0.000201895648564,6.89274412159911,8902.8664509036,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
2032,0.000203994504209,5.95014037715515,148.5455664251,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
2033,0.000280000000000,5.06018705444905,-10142.6396248467,-3.34914589730076E-04,-4.71038912395011E-07,2.32167090796053E-09
2034,0.000279283986272,21.98411720834280,26727.3672353243,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
2035,0.000268347421588,23.59382045870370,25103.4682451564,3.02407804777302E-04,5.68900687107167E-07,-2.85055900081973E-09
2036,0.000224564768383,2.87458967354661,8117.9974488107,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
2037,0.000220152793194,4.72859650699199,8513.6482508199,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
2038,0.000207638187018,-1.65918987223126,39516.6735375137,-4.40801098618246E-05,3.69609102915360E-07,-2.08145057710757E-09
2039,0.000239807167033,16.26416283915500,33402.6197505543,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
2040,0.000212581442732,8.63973871984321,102.6324946463,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
2041,0.000276502813855,23.50792007399730,33090.9538114828,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
2042,0.000276310499823,14.23902144245420,18727.2624305799,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
2043,0.000249189669918,14.24721195624930,33595.3084696430,-8.81151105255786E-06,2.71087302857741E-07,-1.49884997651824E-09
2044,0.000199496526482,-37.09780177905480,8795.1363781373,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
2045,0.000227226774559,-21.92780762290510,-16746.4250981157,-3.37676403586569E-04,-4.70378887049548E-07,2.26795840023040E-09
