n,vn,an0,an1,an2,an3,an4
1008,0.000013659503941,-5.43785974892190,15524.7053465259,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
1009,0.000012193318102,-30.02140859781350,14285.7868039326,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
1010,0.000013655586328,2.22525281600676,8903.3185669909,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1011,0.000013570150464,-53.42805186797440,0.2542643842,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1012,0.000014457535782,4.10333597789341,-426.8023971481,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
1013,0.000013184220985,-62.65014547711910,8328.4857093974,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1014,0.000014747343943,16.46783448537100,1067.7292206117,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
1015,0.000014167866443,11.54353525464070,6508.2030193007,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1016,0.000013379902546,-7.79314111444062,7196.0139219025,-4.36951167772319E-04,-3.77202303270266E-07,1.65592960919773E-09
1017,0.000013983982123,3.02210307062683,-1.1634615542,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
1018,0.000015124414136,8.75750332405002,8.8783885005,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
1019,0.000014866846025,10.73924177504590,8269.1728475520,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
1020,0.000012566840745,2.43222275379699,16673.3823574709,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
1021,0.000014164853489,8.14218128249609,8111.4384932116,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
1022,0.000014131523120,11.65064779821520,8033.8862321995,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
1023,0.000012145750809,-19.30639139975500,16051.6171693336,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
1024,0.000011686729010,11.10675352011230,9350.0199793620,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1025,0.000015021649710,-73.24555331899880,8972.5410379574,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1026,0.000012559672033,10.12926231286970,16727.2126931056,-9.70977534384004E-05,2.57136449814237E-08,-2.33437787454241E-10
1027,0.000015863959958,8.90054324922607,6063.3858896896,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1028,0.000013760734668,-16.80975293658640,173.4668383397,-2.49390161200726E-04,-2.25005229173230E-07,1.00254621116640E-09
1029,0.000015602265288,-18.48863137570810,6.5342203451,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1030,0.000012046397081,-36.35737287107450,8899.9111110054,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1031,0.000011554788933,-0.06850461720550,7699.6724941110,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1032,0.000012024639719,58.78857524225640,7605.2120074937,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1033,0.000015793341944,-68.09118037452950,349.6032717602,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1034,0.000012763071187,9.75540112502628,8398.9733845696,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
1035,0.000012035133671,-14.24494215057440,455.1541195654,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1036,0.000011619793695,4.91502497792177,13735.3837958572,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
1037,0.000011997264818,-24.19760016515670,390.7197697516,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1038,0.000011645445387,9.27563964610122,-1167.5976564763,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
1039,0.000011257305354,-7.74276127273343,7660.5689376800,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1040,0.000015141131321,-97.13906970941530,-64.0877755074,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1041,0.000011255050774,8.01997994997263,13710.8006320563,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
1042,0.000013068772520,0.81421597602573,52.2577517443,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1043,0.000012499371066,-24.06407350470940,1137.1704643973,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1044,0.000011328415363,69.93568035020760,7645.0269093916,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1045,0.000011287572743,10.70491164942610,14205.9570265623,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
1046,0.000011309792769,123.51228648275700,7212.0273483413,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1047,0.000011210186362,33.50800396792550,16031.3764641427,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1048,0.000012814606962,7.98885057394075,8904.7412579247,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1049,0.000012328694192,12.88122928942110,516.9738965783,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
1050,0.000011259193589,-98.00501302034890,7216.0983823754,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1051,0.000015607550973,-43.93005809732720,27.6089771739,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
1052,0.000012391949262,22.05911209635260,17665.5934927871,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
1053,0.000011398385844,205.66829386347300,-1.9475210250,2.87375665672167E-05,1.03867016335956E-07,-5.53172410145980E-10
1054,0.000011578772042,15.00989861661500,8863.6990051424,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1055,0.000011342472707,-43.41293090308770,8757.9245001794,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
1056,0.000014065447134,3.83023958580793,-705.8598460577,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1057,0.000011095780508,5.90980080229865,6880.0016218866,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
1058,0.000011567455884,11.94170960771570,14967.4158021474,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
