n,vn,an0,an1,an2,an3,an4
7001,0.000041860624426,24.09063718913330,23949.4426014976,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
7002,0.000032970674791,-48.63340991154540,1.7812526328,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7003,0.000033782491172,10.38281277701830,8139.8054751440,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
7004,0.000043821868345,4.59707430589478,-2896.2619037734,6.18291546291335E-05,7.28081550761954E-08,-3.49162813135087E-10
7005,0.000031340627089,-10.94231600331580,115.0927713447,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
7006,0.000032735446925,29.09198355712020,15873.6421098023,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
7007,0.000036556506153,-26.76047674971250,-212.9951757541,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
7008,0.000036687479054,-25.32360684619040,-8548.2455559767,-4.01682568963052E-04,-4.75724103327885E-07,2.23853020978706E-09
7009,0.000031204131080,19.16764078602590,31730.7368458167,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
7010,0.000036441274477,27.20322748252150,30983.3368710355,2.38401639400818E-04,5.63555470828831E-07,-2.87998719126308E-09
7011,0.000041004039750,7.82244746086284,13562.2715609673,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7012,0.000042648071026,-22.72949295954590,-25213.6726830625,-2.42755660895518E-04,-4.28629593233114E-07,2.12280518410621E-09
7013,0.000037759303884,12.55000631588780,22983.2873018840,-3.46487914639127E-04,-1.99291584191807E-07,7.69108423712167E-10
7014,0.000033273649182,10.21473974110200,7080.9546430329,1.83206985076893E-04,2.87122951692752E-07,-1.41056540518819E-09
7015,0.000035005580082,-7.33184932269651,7765.3436705481,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
7016,0.000036450346560,23.84309520409890,17588.0412317750,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7017,0.000041125712758,18.36186836160380,23232.8288483042,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7018,0.000034950674393,1.00729828120312,11299.7057166872,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7019,0.000042405073702,-22.32068600233180,-7789.4260884468,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
7020,0.000034339471043,-14.78951817568160,8370.1610582390,3.35499392839219E-04,5.37841825847407E-07,-2.64654940380884E-09
7021,0.000036434036345,-12.19581089399300,-6399.6692035551,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
7022,0.000030990544094,8.28292386536559,12507.1545591764,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
7023,0.000036365064434,23.70477569022410,9538.4072560611,-1.87561006571593E-04,-1.52197074097035E-07,6.53383398031321E-10
7024,0.000042930508639,19.25447893963650,7043.2105998196,-5.89243575534645E-04,-6.27921177424921E-07,2.89191360781838E-09
7025,0.000042080265252,15.62742785243690,31230.6236958860,-1.94195506876800E-04,5.14272899628475E-08,-4.66875574908483E-10
7026,0.000037130266685,26.11884311881420,22360.3991048382,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7027,0.000038232203652,10.57199988349400,22720.0573934696,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
7028,0.000036359961901,13.85447287932780,16153.0281910866,3.35499392839219E-04,5.37841825847407E-07,-2.64654940380884E-09
7029,0.000032669192247,36.97965423699110,9510.0555336438,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7030,0.000036405797690,17.30195106612720,23576.6405221812,-3.15573337324560E-04,-1.62887506653709E-07,5.94527017144623E-10
7031,0.000033636907943,5.68439823135007,-8517.5773741029,-1.21377830447759E-04,-2.14314796616557E-07,1.06140259205310E-09
