n,vn,an0,an1,an2,an3,an4
27,0.000040000000000,7.95512767221334,8470.6667757865,-2.23803346871976E-04,-1.87368367406807E-07,7.19085348095285E-10
28,0.000040000000000,5.58339857968965,7072.0875141953,1.57620170748143E-04,2.49486089926329E-07,-1.12710454211707E-09
29,0.000026724848476,-12.84589081916750,7211.7616654169,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
30,0.000026306839804,-10.49041386812500,15540.4530900403,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
31,0.000026087328166,40.70905246300720,15545.0554899232,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
32,0.000025131372455,38.35342314964420,7216.3640652998,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
33,0.000030000000000,21.62303098768590,22128.5152001260,-2.81994878517084E-04,-1.27099821229774E-07,4.74385338828869E-10
34,0.000030000000000,10.39693359831320,15542.7542899817,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
35,0.000020058244061,-13.77744995711660,-15.4191111397,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
36,0.000018398914608,5.77824069074773,8329.4027700903,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
37,0.000018388331895,2.07421531742010,8327.9800791566,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
38,0.000015737160983,12.07977031266700,8311.7707438159,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
39,0.000017810150428,-32.33901058659590,1.0958808675,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
40,0.000020419037323,-107.72090649089100,-1.7309684772,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
41,0.000020000000000,19.26747643729910,13799.8237755026,-4.34287286279411E-04,-3.77818695384429E-07,1.71036933744952E-09
42,0.000020000000000,12.70936246084340,24499.7476698193,8.34453501455840E-05,3.13452988788338E-07,-1.69844292089422E-09
43,0.000020000000000,8.04137904792640,7214.0628653583,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
44,0.000020000000000,8.78429146327286,-486.3266040510,-3.73431873141394E-04,-4.38703633675625E-07,2.00950907496772E-09
45,0.000020000000000,10.32584145294530,-1952.4799802155,6.44930361220421E-05,7.21917629620327E-08,-2.94723084883298E-10
