n,rn,dn0,dn1,dn2,dn3,dn4
1,0.513949974213340,12.01085561296460,14914.4523347677,-6.35192946309251E-05,6.15013304053588E-08,-3.53579465769995E-10
2,0.382449980811152,9.65530106257783,6585.7609101443,-2.15811702393251E-04,-1.89217543749295E-07,8.82404532850655E-10
3,0.326539983616351,3.96947656503822,7700.3894694094,1.54956289255234E-04,2.50102482040492E-07,-1.18154427036886E-09
4,0.263959986756208,7.02481784291496,8956.9933798375,1.49628526269417E-04,2.51335266268817E-07,-1.29042372687244E-09
5,0.123019993827658,4.66926329252815,628.3019552141,-2.66388149290851E-06,6.16392114162664E-10,-5.44397282517898E-11
6,0.077539996109548,15.06619689084130,16171.0562451958,-6.88470576167421E-05,6.27341146336841E-08,-4.62458922273575E-10
7,0.060679996955473,12.71064234045450,7842.3648205724,-2.21139465379068E-04,-1.87984759520970E-07,7.73525076347075E-10
8,0.049699997506378,12.05398130082110,14286.1503795536,-6.08554131380166E-05,6.08849382911961E-08,-2.99139737518205E-10
9,0.041939997895724,6.72613743809497,8399.6791002050,-3.57554695548253E-05,3.16752533739234E-08,-2.58449325262682E-10
10,0.032219998383410,14.36641016335140,23243.1437593911,8.87731131314010E-05,3.12220204560013E-07,-1.58956346439064E-09
11,0.025289998731113,10.44133916578080,-1742.9305144792,-3.68104110155577E-04,-4.39936417903950E-07,2.11838853147130E-09
12,0.024899998750680,9.69842675043436,5957.4589549302,-2.13147820900342E-04,-1.89833935863458E-07,9.36844261102444E-10
13,0.017639999114940,6.32503111542503,16029.0808940328,3.07248697017560E-04,5.00821356195146E-07,-2.41752826898951E-09
14,0.012568406263371,-18.55186099557800,8326.3902246820,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
15,0.011784002787854,29.54615559981730,8330.9926245649,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
16,0.014489999272986,9.38037239330176,17285.6848044609,3.01920934031743E-04,5.02054140423472E-07,-2.52640772549309E-09
