n,vn,an0,an1,an2,an3,an4
20,-0.328655867241906,10.32247413797460,41853.0065888535,3.28864892534011E-04,7.41466189907290E-07,-3.76680837674865E-09
21,0.001529952745211,13.57828462478880,58719.9389038367,2.00852561781044E-04,7.30775757350616E-07,-3.82566475763534E-09
22,-0.003539956698595,6.16640771473298,16447.8333835106,7.37181961802271E-04,1.01356592917529E-06,-4.88507961359590E-09
23,1.933682398463610,9.42221820154721,33314.7656984938,6.09169631049304E-04,1.00287549661861E-06,-4.94393599448260E-09
24,-0.026019715403432,12.67802868836140,50181.6980134770,4.81157300296337E-04,9.92185064061945E-07,-5.00279237536930E-09
25,0.000159996995125,15.93383917517560,67048.6303284602,3.53144969543370E-04,9.81494631505271E-07,-5.06164875625599E-09
26,-0.000229997859548,8.52196226511979,24776.5248081340,8.89474369564598E-04,1.26428480332994E-06,-6.12106361221655E-09
27,0.111000888553804,11.77777275193400,41643.4571231172,7.61462038811630E-04,1.25359437077327E-06,-6.17991999310325E-09
28,-0.002009980735928,15.03358323874820,58510.3894381004,6.33449708058663E-04,1.24290393821659E-06,-6.23877637398995E-09
29,0.000020000000000,18.28939372556240,75377.3217530836,5.05437377305696E-04,1.23221350565992E-06,-6.29763275487665E-09
30,-0.000020000000000,10.87751681550650,33105.2162327574,1.04176677732692E-03,1.51500367748460E-06,-7.35704761083720E-09
31,0.006650063103698,14.13332730232080,49972.1485477407,9.13754446573957E-04,1.50431324492792E-06,-7.41590399172390E-09
32,-0.000150001728846,17.38913778913500,66839.0808627239,7.85742115820989E-04,1.49362281237125E-06,-7.47476037261060E-09
33,0.000410004322114,16.48888185270760,58300.8399723641,1.06604685433628E-03,1.75503211908258E-06,-8.65188799034455E-09
34,-0.000010000000000,19.74469233952180,75167.7722873473,9.38034523583316E-04,1.74434168652590E-06,-8.71074437123125E-09
35,0.000030000000000,18.84443640309440,66629.5313969876,1.21833926209860E-03,2.00575099323723E-06,-9.88787198896520E-09
36,-0.000020000000000,-16.53200754056410,-57672.5380171500,-1.06871073582919E-03,-1.75441572696842E-06,8.59744826209276E-09
37,-0.000239996457951,-14.17645299017730,-49343.8465925266,-9.16418328066865E-04,-1.50369685281376E-06,7.36146426347211E-09
38,0.000060000000000,-15.07670892660470,-57882.0874828863,-6.36113589551572E-04,-1.24228754610243E-06,6.18433664573816E-09
39,-0.003319903223422,-11.82089843979050,-41015.1551679031,-7.64125920304539E-04,-1.25297797865911E-06,6.12548026485146E-09
40,0.000639968172534,-12.72115437621790,-49553.3960582629,-4.83821181789246E-04,-9.91568671947782E-07,4.94835264711751E-09
41,-0.047018577037686,-9.46534388940374,-32686.4637432797,-6.11833512542213E-04,-1.00225910450445E-06,4.88949626623081E-09
42,0.000070000000000,-6.20953340258951,-15819.5314282965,-7.39845843295180E-04,-1.01294953706113E-06,4.83063988534411E-09
43,-0.000030000000000,-13.62141031264530,-58091.6369486226,-2.03516443273952E-04,-7.30159365236453E-07,3.77122502938355E-09
44,0.006229694037459,-10.36559982583110,-41224.7046336394,-3.31528774026919E-04,-7.40849797793127E-07,3.71236864849686E-09
45,-0.669378701499579,-7.10978933901693,-24357.7723186562,-4.59541104779887E-04,-7.51540230349801E-07,3.65351226761016E-09
46,0.001059942891993,-3.85397885220271,-7490.8400036731,-5.87553435532854E-04,-7.62230662906475E-07,3.59465588672346E-09
47,-0.000169986126087,-11.26585576225850,-49762.9455239992,-5.12240355116264E-05,-4.79440491081798E-07,2.53524103076290E-09
